talk_name,event,date,author_1,author_2,author_3,author_4,author_5,abstract,length,keynote,youtube_link,
Good Incident Response; More Than Just Tech Stuff,ComfyCon AU 2020 Winter,4/11/2020,Ryan Janosevic,,,,,"Looking back at some of of the previous Incident Response operations he led, Ryan will give an overview into some of the critical functions and skills required of Incident Response personnel. Hint, its not always technical expertise that makes for great Incident Response (although that's kind of important too!) - so that's what this presentation will focus on, the non-technical side of IR.",25,N,https://www.youtube.com/embed/TFIlscQTC7Y?si=2ghGFT8sJm-e0mfO,
Things to do with a Faraday Cage,ComfyCon AU 2020 Winter,4/11/2020,Silvio Cesare,,,,,"I recently bought a commercial desktop Faraday Cage/Box. It has USB, POE, and SMA pass through. It also has power, light, a viewing window and shielded gloves.  If you ever get access to one, this talk might give you some ideas on the things you can do with it. For me, that's setting up a LTE 4G base station and fuzzing the pre-authentication broadcast messages. From outside the box, I remotely manage my target, an Android phone receiving the signals.",20,N,https://www.youtube.com/embed/SIKgXWgcu1U?si=PvYhhyzDJnyd-jrH,
Code that gets you pwn(s|'d),ComfyCon AU 2020 Winter,4/11/2020,Louis,,,,,"In this talk, Louis will cover examples of vulnerabilities that are not necessarily obvious. We will look at some snippets in Golang, Ruby, Python..",30,N,https://www.youtube.com/embed/E5_S_Yip3gc?si=M86vP4b-2Q5e9n5E,
Zero Trust ... it is not just about infrastructure,ComfyCon AU 2020 Winter,4/11/2020,TM Ching,,,,,"Zero Trust is probably the most overused buzzword in the industry, and probably the least understood. Some people think you can buy a product that provide Zero Trust ability, but Zero Trust is not a capability ... it is a way of security management. My talk briefly just wants to clear the air about what Zero Trust is all about.",20,N,https://www.youtube.com/embed/Yg_EKCF0ps4?si=6HVrg8KoeXBPP1YG,
Overcoming Cyber Performance Anxiety: The Continuous Cyber Maturity Model,ComfyCon AU 2020 Winter,4/11/2020,Andrew Scully,,,,,"Unending data breaches, outages and compromises can leave security senior leadership with “cyber performance anxiety” and organisations asking the question; does our security program REALLY deliver the outcomes we need? Does the program really work?

This discussion will dive into some lessons learnt from the security leadership coal face and will address; how we gain better alignment between security programs and organizational outcomes?",35,N,https://www.youtube.com/embed/bXmr6mepkm0?si=sAfsxiZJa50VqkGQ,
Is there anyone on board who can fly a DevSecOps plane?!,ComfyCon AU 2020 Winter,4/11/2020,Hannah McKelvie,,,,,"We are three years into our Enterprise Secure Code program, and last year we embarked on DevSecOps at scale. We are one of Australia's largest Telcos, and we are fundamentally transforming the way our company releases code into production. In this talk I will describe the evolution of the Secure Code team and then walk through examples of how our initiatives are succeeding in helping projects to go live with fewer vulnerabilities and fewer interactions with Cyber Security. I will also share how DevSecOps has evolved for us, who were our stakeholders, how we built and established critical relationships, and look at where we have landed with DevSecOps today, before diving into one of our key initiatives - our Security Champion Program.",0,N,,
An Introduction to Drone Security,ComfyCon AU 2020 Winter,4/11/2020,Mike Monnik,,,,,Drones are literally flying laptops. There are a lot of attack vectors that exist but also a number of key things you need to be aware of in the physical and kinetic space; it's no longer a case of simply compromisable IoT. We'll go through the key things you need to know about in the space and how the InfoSec community is barreling into the Aerospace and Force Protection industries.,45,N,https://www.youtube.com/embed/VkjsE-RuPwQ?si=dDnpRj-L6KjxPtub,
Security at the speed of DevOps,ComfyCon AU 2020 Winter,4/11/2020,Uday Korlimarla,,,,,"Today, Speed to market is everything. But speed and security can both be achieved at the same time.

In a lightning speed demo, I will walk the audience through creating WebApps at the speed of light while making sure that checks and balances are in place to ensure that Security is a first class citizen. The idea is to help educate DevOps as well as an AppSec audience on things that there are simpler ways to start securing.

In under 30 minutes, the demo will be for the Audience to follow through with me and deploy a modern client-side webapp using ReactJS by creating a simple Serverless Architecture using Firebase.",25,N,https://www.youtube.com/embed/vTfIsDtPVGg?si=l_WdVIOEQa732cBb,
Introduction to Lockpicking,ComfyCon AU 2020 Winter,4/11/2020,Marshmallow,Jailbreak,M&M,BigDaddy,,An introduction to Lockpicking from some of the youngest members of our community!,20,N,https://www.youtube.com/embed/7HpzMfSfSmI?si=VuSr9lyxgXfjuCRK,
CV Workshop,ComfyCon AU 2020 Winter,4/11/2020,Ricki Burke,,,,,"Ricki runs through his top tips for developing a CV, what you should and shouldn't do, and what industry hiring representatives look for. ",40,N,https://www.youtube.com/embed/NY_IpCNFGYc?si=4SzhQrENWnMlUbcK,
Careers Panel,ComfyCon AU 2020 Winter,4/11/2020,Fabio,Helen,Kav,Shanna,,A panel on how to get a career within cyber security.,30,N,https://www.youtube.com/embed/a7RsAnaJ48k?si=4r_3UV2mlzLqstUT,
